dimx,dimy,dimz,buffer_size,packet_size_min,packet_size_max,routing_type,selection_strategy,traffic_type,injection_rate,steady_state_temp_L0,steady_state_temp_L1,router_avg_temp_L0,router_avg_temp_L1,core_avg_temp_L0,core_avg_temp_L1,mem_avg_temp_L0,mem_avg_temp_L1,total_area,avg_power,avg_cores_power,avg_routers_power,avg_power_per_router,layer_area,area_per_core
3,2,2,8,4,8,fullyadaptive,thermal,random,0.01,66.7798,65.7272166666667,26.22565,26.0955166666667,26.00495,25.8982,25.68235,25.6083666666667,2.85066e+07 (um^2),1.74319e-08 (J/cycle),1.46667e-08 (J/cycle),2.76521e-09 (J/cycle),2.30434e-10 (J/cycle),1.42533e+07 (um^2),4.69523e+06 (um^2)
3,2,2,8,4,8,fullyadaptive,thermal,random,0.02,70.55875,69.3191,26.4585,26.31385,26.1907333333333,26.0671333333333,25.7105166666667,25.6343333333333,2.85066e+07 (um^2),2.00672e-08 (J/cycle),1.67162e-08 (J/cycle),3.35101e-09 (J/cycle),2.79251e-10 (J/cycle),1.42533e+07 (um^2),4.69523e+06 (um^2)
3,2,2,8,4,8,fullyadaptive,thermal,random,0.03,70.3595666666667,69.1278166666667,26.43805,26.2816,26.15035,26.0206666666667,25.7068666666667,25.6290166666667,2.85066e+07 (um^2),1.98848e-08 (J/cycle),1.654e-08 (J/cycle),3.34478e-09 (J/cycle),2.78731e-10 (J/cycle),1.42533e+07 (um^2),4.69523e+06 (um^2)
3,2,2,8,4,8,fullyadaptive,thermal,random,0.04,65.3808833333333,64.39975,26.1257666666667,26.0093666666667,25.8893666666667,25.7906833333333,25.6567333333333,25.5853,2.85066e+07 (um^2),1.63212e-08 (J/cycle),1.37328e-08 (J/cycle),2.5884e-09 (J/cycle),2.157e-10 (J/cycle),1.42533e+07 (um^2),4.69523e+06 (um^2)
3,2,2,8,4,8,fullyadaptive,thermal,random,0.05,64.9464833333333,63.9912166666667,26.078,25.9744833333333,25.8558333333333,25.7661333333333,25.6397,25.5720833333333,2.85066e+07 (um^2),1.60826e-08 (J/cycle),1.35421e-08 (J/cycle),2.54046e-09 (J/cycle),2.11705e-10 (J/cycle),1.42533e+07 (um^2),4.69523e+06 (um^2)
3,2,2,8,4,8,fullyadaptive,thermal,random,0.06,63.77825,62.8706,26.0209,25.90485,25.8010666666667,25.7163333333333,25.6305,25.56355,2.85066e+07 (um^2),1.51915e-08 (J/cycle),1.28367e-08 (J/cycle),2.3548e-09 (J/cycle),1.96233e-10 (J/cycle),1.42533e+07 (um^2),4.69523e+06 (um^2)
3,2,2,8,4,8,fullyadaptive,thermal,random,0.07,63.7550833333333,62.8477,25.9833166666667,25.8703833333333,25.76615,25.6881,25.60315,25.5412,2.85066e+07 (um^2),1.51864e-08 (J/cycle),1.28114e-08 (J/cycle),2.37506e-09 (J/cycle),1.97922e-10 (J/cycle),1.42533e+07 (um^2),4.69523e+06 (um^2)
3,2,2,8,4,8,fullyadaptive,thermal,random,0.08,63.6946,62.7848333333334,26.0518666666667,25.9135166666667,25.8208333333333,25.7322,25.6488333333333,25.5785,2.85066e+07 (um^2),1.51317e-08 (J/cycle),1.27967e-08 (J/cycle),2.33497e-09 (J/cycle),1.94581e-10 (J/cycle),1.42533e+07 (um^2),4.69523e+06 (um^2)
3,2,2,8,4,8,fullyadaptive,thermal,random,0.09,63.52895,62.6325,26.0360333333333,25.9129833333333,25.8084833333333,25.7224333333333,25.6450166666667,25.57545,2.85066e+07 (um^2),1.49851e-08 (J/cycle),1.26826e-08 (J/cycle),2.30251e-09 (J/cycle),1.91876e-10 (J/cycle),1.42533e+07 (um^2),4.69523e+06 (um^2)
3,2,2,8,4,8,fullyadaptive,thermal,random,0.1,63.4709666666667,62.5723166666667,25.9920166666667,25.8652,25.77405,25.694,25.6168166666667,25.5523,2.85066e+07 (um^2),1.49739e-08 (J/cycle),1.26734e-08 (J/cycle),2.30048e-09 (J/cycle),1.91707e-10 (J/cycle),1.42533e+07 (um^2),4.69523e+06 (um^2)
