dimx,dimy,dimz,buffer_size,packet_size_min,packet_size_max,routing_type,selection_strategy,traffic_type,injection_rate,steady_state_temp_L0,steady_state_temp_L1,router_avg_temp_L0,router_avg_temp_L1,core_avg_temp_L0,core_avg_temp_L1,mem_avg_temp_L0,mem_avg_temp_L1,total_area,avg_power,avg_cores_power,avg_routers_power,avg_power_per_router,layer_area,area_per_core
3,2,2,4,4,8,fullyadaptive,thermal,random,0.01,66.9111666666667,65.85,26.2257666666667,26.0961833333333,26.00245,25.89765,25.6735,25.6013166666667,2.83326e+07 (um^2),1.74185e-08 (J/cycle),1.46835e-08 (J/cycle),2.73498e-09 (J/cycle),2.27915e-10 (J/cycle),1.41663e+07 (um^2),4.69523e+06 (um^2)
3,2,2,4,4,8,fullyadaptive,thermal,random,0.02,70.6189,69.3740333333333,26.4749166666667,26.3276333333333,26.1992,26.0784833333333,25.7118333333333,25.6360666666667,2.83326e+07 (um^2),2.00024e-08 (J/cycle),1.67031e-08 (J/cycle),3.29936e-09 (J/cycle),2.74947e-10 (J/cycle),1.41663e+07 (um^2),4.69523e+06 (um^2)
3,2,2,4,4,8,fullyadaptive,thermal,random,0.03,71.1943833333333,69.9175,26.5351666666667,26.3623666666667,26.2328333333333,26.0954,25.73255,25.6510833333333,2.83326e+07 (um^2),2.03625e-08 (J/cycle),1.69691e-08 (J/cycle),3.39335e-09 (J/cycle),2.82779e-10 (J/cycle),1.41663e+07 (um^2),4.69523e+06 (um^2)
3,2,2,4,4,8,fullyadaptive,thermal,random,0.04,65.7039833333333,64.6988833333333,26.1107666666667,25.9794166666667,25.8819,25.7881666666667,25.6361166666667,25.5690333333333,2.83326e+07 (um^2),1.64991e-08 (J/cycle),1.39273e-08 (J/cycle),2.57181e-09 (J/cycle),2.14317e-10 (J/cycle),1.41663e+07 (um^2),4.69523e+06 (um^2)
3,2,2,4,4,8,fullyadaptive,thermal,random,0.05,63.40635,62.5125,26.0006666666667,25.8761,25.79555,25.71255,25.6285833333333,25.5619833333333,2.83326e+07 (um^2),1.48975e-08 (J/cycle),1.26686e-08 (J/cycle),2.22891e-09 (J/cycle),1.85743e-10 (J/cycle),1.41663e+07 (um^2),4.69523e+06 (um^2)
3,2,2,4,4,8,fullyadaptive,thermal,random,0.06,63.6889166666667,62.7847666666667,26.0146666666667,25.8984666666667,25.8016833333333,25.7177833333333,25.62715,25.5608166666667,2.83326e+07 (um^2),1.5063e-08 (J/cycle),1.2791e-08 (J/cycle),2.27206e-09 (J/cycle),1.89339e-10 (J/cycle),1.41663e+07 (um^2),4.69523e+06 (um^2)
3,2,2,4,4,8,fullyadaptive,thermal,random,0.07,63.446,62.5577166666667,26.0045666666667,25.8967166666667,25.8050833333333,25.7206,25.6342666666667,25.5666166666667,2.83326e+07 (um^2),1.49496e-08 (J/cycle),1.27092e-08 (J/cycle),2.24047e-09 (J/cycle),1.86706e-10 (J/cycle),1.41663e+07 (um^2),4.69523e+06 (um^2)
3,2,2,4,4,8,fullyadaptive,thermal,random,0.08,63.4787666666667,62.5902833333333,25.9768166666667,25.8771166666667,25.7823333333333,25.70115,25.6145166666667,25.5502833333333,2.83326e+07 (um^2),1.49672e-08 (J/cycle),1.27231e-08 (J/cycle),2.24409e-09 (J/cycle),1.87007e-10 (J/cycle),1.41663e+07 (um^2),4.69523e+06 (um^2)
3,2,2,4,4,8,fullyadaptive,thermal,random,0.09,63.4255166666667,62.5368333333333,25.99005,25.8824333333333,25.78855,25.7067333333333,25.62285,25.5572666666667,2.83326e+07 (um^2),1.49022e-08 (J/cycle),1.26685e-08 (J/cycle),2.23373e-09 (J/cycle),1.86144e-10 (J/cycle),1.41663e+07 (um^2),4.69523e+06 (um^2)
3,2,2,4,4,8,fullyadaptive,thermal,random,0.1,63.5559166666667,62.6667333333333,26.0113,25.9137666666667,25.8123833333333,25.7262333333333,25.6373,25.5690666666667,2.83326e+07 (um^2),1.50185e-08 (J/cycle),1.27632e-08 (J/cycle),2.25535e-09 (J/cycle),1.87946e-10 (J/cycle),1.41663e+07 (um^2),4.69523e+06 (um^2)
