dimx,dimy,dimz,buffer_size,packet_size_min,packet_size_max,routing_type,selection_strategy,traffic_type,injection_rate,steady_state_temp_L0,steady_state_temp_L1,router_avg_temp_L0,router_avg_temp_L1,core_avg_temp_L0,core_avg_temp_L1,mem_avg_temp_L0,mem_avg_temp_L1,total_area,avg_power,avg_cores_power,avg_routers_power,avg_power_per_router,layer_area,area_per_core
15,2,2,4,4,8,oe_3d,thermal,random,0.01,91.67289666666669,90.44848333333334,26.708216666666665,26.527576666666675,26.040776666666666,25.927886666666666,25.72279666666667,25.64160333333333,1.41663e+08 (um^2),9.15672e-08 (J/cycle),7.34237e-08 (J/cycle),1.81435e-08 (J/cycle),3.02392e-10 (J/cycle),7.08314e+07 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,2,2,4,4,8,oe_3d,thermal,random,0.02,90.98489666666667,89.78243333333334,26.663303333333335,26.484620000000003,26.02705666666667,25.915259999999996,25.718763333333335,25.638140000000003,1.41663e+08 (um^2),9.05224e-08 (J/cycle),7.27712e-08 (J/cycle),1.77512e-08 (J/cycle),2.95854e-10 (J/cycle),7.08314e+07 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,2,2,4,4,8,oe_3d,thermal,random,0.03,90.75685000000001,89.56173666666668,26.61552,26.447946666666667,25.99838,25.893196666666668,25.700499999999995,25.623583333333336,1.41663e+08 (um^2),9.01093e-08 (J/cycle),7.24818e-08 (J/cycle),1.76274e-08 (J/cycle),2.93791e-10 (J/cycle),7.08314e+07 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,2,2,4,4,8,oe_3d,thermal,random,0.04,90.58975666666667,89.40031,26.592049999999993,26.43035666666667,25.987300000000005,25.886123333333334,25.694356666666668,25.618906666666668,1.41663e+08 (um^2),8.99958e-08 (J/cycle),7.24199e-08 (J/cycle),1.75758e-08 (J/cycle),2.9293e-10 (J/cycle),7.08314e+07 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,2,2,4,4,8,oe_3d,thermal,random,0.05,90.72755,89.53178333333335,26.642443333333336,26.465563333333332,26.015683333333335,25.906196666666673,25.713776666666668,25.634076666666665,1.41663e+08 (um^2),9.01903e-08 (J/cycle),7.25371e-08 (J/cycle),1.76531e-08 (J/cycle),2.94219e-10 (J/cycle),7.08314e+07 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,2,2,4,4,8,oe_3d,thermal,random,0.06,90.72684333333332,89.52722666666668,26.622443333333333,26.440629999999995,26.001386666666665,25.893013333333336,25.702506666666668,25.624666666666663,1.41663e+08 (um^2),9.02077e-08 (J/cycle),7.25466e-08 (J/cycle),1.76611e-08 (J/cycle),2.94352e-10 (J/cycle),7.08314e+07 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,2,2,4,4,8,oe_3d,thermal,random,0.07,90.65528333333333,89.46007666666665,26.59746,26.426226666666665,25.986226666666663,25.881359999999997,25.692053333333337,25.61630333333333,1.41663e+08 (um^2),9.00397e-08 (J/cycle),7.24424e-08 (J/cycle),1.75973e-08 (J/cycle),2.93288e-10 (J/cycle),7.08314e+07 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,2,2,4,4,8,oe_3d,thermal,random,0.08,90.5890233333333,89.39294666666666,26.599623333333337,26.42080666666666,25.988170000000007,25.881990000000005,25.69377333333333,25.61747666666667,1.41663e+08 (um^2),8.98365e-08 (J/cycle),7.23087e-08 (J/cycle),1.75277e-08 (J/cycle),2.92128e-10 (J/cycle),7.08314e+07 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,2,2,4,4,8,oe_3d,thermal,random,0.09,90.64142666666665,89.44612,26.590693333333324,26.419399999999996,25.984799999999996,25.879219999999997,25.69051333333334,25.61485666666667,1.41663e+08 (um^2),9.00036e-08 (J/cycle),7.24272e-08 (J/cycle),1.75764e-08 (J/cycle),2.92941e-10 (J/cycle),7.08314e+07 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,2,2,4,4,8,oe_3d,thermal,random,0.10,90.65941333333333,89.46582333333336,26.639173333333336,26.46321666666667,26.015893333333334,25.905596666666668,25.71415333333333,25.634326666666666,1.41663e+08 (um^2),9.00845e-08 (J/cycle),7.24714e-08 (J/cycle),1.76131e-08 (J/cycle),2.93552e-10 (J/cycle),7.08314e+07 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,2,2,6,4,8,oe_3d,thermal,random,0.01,91.61473000000001,90.39111666666668,26.715656666666664,26.530133333333332,26.041770000000003,25.928890000000003,25.724663333333336,25.643180000000008,1.42098e+08 (um^2),9.15215e-08 (J/cycle),7.33339e-08 (J/cycle),1.81877e-08 (J/cycle),3.03128e-10 (J/cycle),7.10489e+07 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
15,2,2,6,4,8,oe_3d,thermal,random,0.02,98.08634999999998,96.65377666666667,27.092423333333333,26.871183333333327,26.15659333333333,26.031086666666663,25.745970000000003,25.66211666666667,1.42098e+08 (um^2),1.01942e-07 (J/cycle),7.94961e-08 (J/cycle),2.2446e-08 (J/cycle),3.741e-10 (J/cycle),7.10489e+07 (um^2),4.69523e+06 (um^2)	Percent (per tile)   
