dimx,dimy,dimz,buffer_size,packet_size_min,packet_size_max,routing_type,selection_strategy,traffic_type,injection_rate,steady_state_temp_L0,steady_state_temp_L1,router_avg_temp_L0,router_avg_temp_L1,core_avg_temp_L0,core_avg_temp_L1,mem_avg_temp_L0,mem_avg_temp_L1,total_area,avg_power,avg_cores_power,avg_routers_power,avg_power_per_router,layer_area,area_per_core
3,2,2,4,4,8,oe_3d,thermal,random,0.01,66.9204333333333,65.8587666666667,26.1823,26.0606166666667,25.96565,25.8715166666667,25.6481166666667,25.5812833333333,2.83326e+07 (um^2),1.74178e-08 (J/cycle),1.46823e-08 (J/cycle),2.73549e-09 (J/cycle),2.27958e-10 (J/cycle),1.41663e+07 (um^2),4.69523e+06 (um^2)
3,2,2,4,4,8,oe_3d,thermal,random,0.02,70.6703333333333,69.4187,26.4411833333333,26.2915166666667,26.168,26.04865,25.6906333333333,25.6181,2.83326e+07 (um^2),2.0001e-08 (J/cycle),1.66995e-08 (J/cycle),3.30154e-09 (J/cycle),2.75128e-10 (J/cycle),1.41663e+07 (um^2),4.69523e+06 (um^2)
3,2,2,4,4,8,oe_3d,thermal,random,0.03,74.57605,73.12515,26.8161333333333,26.6167833333333,26.4601833333333,26.3055833333333,25.7841333333333,25.6971,2.83326e+07 (um^2),2.26872e-08 (J/cycle),1.87974e-08 (J/cycle),3.88984e-09 (J/cycle),3.24153e-10 (J/cycle),1.41663e+07 (um^2),4.69523e+06 (um^2)
3,2,2,4,4,8,oe_3d,thermal,random,0.04,78.2744833333334,76.6375,26.9488166666667,26.7455333333333,26.57035,26.4011,25.7700333333333,25.6866666666667,2.83326e+07 (um^2),2.52226e-08 (J/cycle),2.07768e-08 (J/cycle),4.44584e-09 (J/cycle),3.70487e-10 (J/cycle),1.41663e+07 (um^2),4.69523e+06 (um^2)
3,2,2,4,4,8,oe_3d,thermal,random,0.05,81.96345,80.1398333333333,27.16245,26.9376666666667,26.7394666666667,26.55815,25.7949666666667,25.7102,2.83326e+07 (um^2),2.77703e-08 (J/cycle),2.27592e-08 (J/cycle),5.01116e-09 (J/cycle),4.17597e-10 (J/cycle),1.41663e+07 (um^2),4.69523e+06 (um^2)
3,2,2,4,4,8,oe_3d,thermal,random,0.06,82.81245,80.9495833333333,27.2729333333333,27.0401166666667,26.8280833333333,26.6454833333333,25.8270166666667,25.7388166666667,2.83326e+07 (um^2),2.8379e-08 (J/cycle),2.32438e-08 (J/cycle),5.13513e-09 (J/cycle),4.27927e-10 (J/cycle),1.41663e+07 (um^2),4.69523e+06 (um^2)
3,2,2,4,4,8,oe_3d,thermal,random,0.07,82.8129,80.9449,27.2177333333333,26.9838666666667,26.7829,26.5959166666667,25.8029166666667,25.71715,2.83326e+07 (um^2),2.83906e-08 (J/cycle),2.32515e-08 (J/cycle),5.13918e-09 (J/cycle),4.28265e-10 (J/cycle),1.41663e+07 (um^2),4.69523e+06 (um^2)
3,2,2,4,4,8,oe_3d,thermal,random,0.08,82.8271,80.9642833333333,27.2833166666667,27.0464833333333,26.8370333333333,26.65255,25.83135,25.7424833333333,2.83326e+07 (um^2),2.83852e-08 (J/cycle),2.32479e-08 (J/cycle),5.13726e-09 (J/cycle),4.28105e-10 (J/cycle),1.41663e+07 (um^2),4.69523e+06 (um^2)
3,2,2,4,4,8,oe_3d,thermal,random,0.09,82.7856666666667,80.9286666666667,27.27535,27.0511333333333,26.8305833333333,26.6540333333333,25.8297,25.7423666666667,2.83326e+07 (um^2),2.83548e-08 (J/cycle),2.32254e-08 (J/cycle),5.12945e-09 (J/cycle),4.27454e-10 (J/cycle),1.41663e+07 (um^2),4.69523e+06 (um^2)
3,2,2,4,4,8,oe_3d,thermal,random,0.1,82.85185,80.9869666666667,27.2076,26.9857333333333,26.7781,26.6024,25.8003666666667,25.7168,2.83326e+07 (um^2),2.84084e-08 (J/cycle),2.32667e-08 (J/cycle),5.14166e-09 (J/cycle),4.28472e-10 (J/cycle),1.41663e+07 (um^2),4.69523e+06 (um^2)
3,2,2,6,4,8,oe_3d,thermal,random,0.01,66.9541833333333,65.8904666666667,26.223,26.09515,25.9922666666667,25.8904666666667,25.6669166666667,25.5961166666667,2.84196e+07 (um^2),1.74343e-08 (J/cycle),1.46854e-08 (J/cycle),2.74893e-09 (J/cycle),2.29078e-10 (J/cycle),1.42098e+07 (um^2),4.69523e+06 (um^2)
3,2,2,6,4,8,oe_3d,thermal,random,0.02,70.72945,69.47465,26.4702833333333,26.3184666666667,26.1869333333333,26.06355,25.7023333333333,25.6271333333333,2.84196e+07 (um^2),2.00139e-08 (J/cycle),1.66933e-08 (J/cycle),3.32055e-09 (J/cycle),2.76713e-10 (J/cycle),1.42098e+07 (um^2),4.69523e+06 (um^2)
3,2,2,6,4,8,oe_3d,thermal,random,0.03,74.5296666666667,73.0827666666667,26.6183833333333,26.45675,26.2955333333333,26.1711,25.6886833333333,25.6193833333333,2.84196e+07 (um^2),2.26138e-08 (J/cycle),1.87144e-08 (J/cycle),3.89947e-09 (J/cycle),3.24956e-10 (J/cycle),1.42098e+07 (um^2),4.69523e+06 (um^2)
3,2,2,6,4,8,oe_3d,thermal,random,0.04,78.4505666666667,76.8044,26.97465,26.77055,26.5776333333333,26.4128666666667,25.7730333333333,25.69005,2.84196e+07 (um^2),2.53173e-08 (J/cycle),2.08218e-08 (J/cycle),4.49552e-09 (J/cycle),3.74627e-10 (J/cycle),1.42098e+07 (um^2),4.69523e+06 (um^2)
3,2,2,6,4,8,oe_3d,thermal,random,0.05,82.2575666666667,80.4149666666667,27.2640666666667,27.0161,26.8031333333333,26.6049833333333,25.8242833333333,25.7332,2.84196e+07 (um^2),2.7913e-08 (J/cycle),2.28407e-08 (J/cycle),5.07232e-09 (J/cycle),4.22693e-10 (J/cycle),1.42098e+07 (um^2),4.69523e+06 (um^2)
3,2,2,6,4,8,oe_3d,thermal,random,0.06,86.2242666666667,84.1851,27.60545,27.3297333333333,27.0592166666667,26.8376833333333,25.8915333333333,25.79175,2.84196e+07 (um^2),3.0623e-08 (J/cycle),2.49396e-08 (J/cycle),5.68334e-09 (J/cycle),4.73612e-10 (J/cycle),1.42098e+07 (um^2),4.69523e+06 (um^2)
3,2,2,6,4,8,oe_3d,thermal,random,0.07,88.0818333333333,85.94725,27.6875833333333,27.3979666666667,27.1290666666667,26.9080166666667,25.8947333333333,25.7969666666667,2.84196e+07 (um^2),3.18948e-08 (J/cycle),2.5937e-08 (J/cycle),5.95781e-09 (J/cycle),4.96484e-10 (J/cycle),1.42098e+07 (um^2),4.69523e+06 (um^2)
3,2,2,6,4,8,oe_3d,thermal,random,0.08,88.2512333333333,86.1093833333333,27.7326833333333,27.4399,27.1670666666667,26.9393,25.9103833333333,25.8094666666667,2.84196e+07 (um^2),3.20429e-08 (J/cycle),2.6056e-08 (J/cycle),5.98685e-09 (J/cycle),4.98904e-10 (J/cycle),1.42098e+07 (um^2),4.69523e+06 (um^2)
3,2,2,6,4,8,oe_3d,thermal,random,0.09,88.3636333333333,86.2186666666667,27.716,27.43155,27.1542833333333,26.9317166666667,25.9032166666667,25.8044,2.84196e+07 (um^2),3.21057e-08 (J/cycle),2.61054e-08 (J/cycle),6.0003e-09 (J/cycle),5.00025e-10 (J/cycle),1.42098e+07 (um^2),4.69523e+06 (um^2)
3,2,2,6,4,8,oe_3d,thermal,random,0.1,88.2840333333333,86.1400666666667,27.75935,27.4604,27.18725,26.9534166666667,25.9196666666667,25.8168833333333,2.84196e+07 (um^2),3.20808e-08 (J/cycle),2.60895e-08 (J/cycle),5.99131e-09 (J/cycle),4.99276e-10 (J/cycle),1.42098e+07 (um^2),4.69523e+06 (um^2)
3,2,2,8,4,8,oe_3d,thermal,random,0.01,66.7321166666667,65.6824,26.1732166666667,26.0532166666667,25.9638666666667,25.8664166666667,25.6537833333333,25.58545,2.85066e+07 (um^2),1.7409e-08 (J/cycle),1.46506e-08 (J/cycle),2.75843e-09 (J/cycle),2.29869e-10 (J/cycle),1.42533e+07 (um^2),4.69523e+06 (um^2)
