dimx,dimy,dimz,buffer_size,packet_size_min,packet_size_max,routing_type,selection_strategy,traffic_type,injection_rate,steady_state_temp_L0,steady_state_temp_L1,router_avg_temp_L0,router_avg_temp_L1,core_avg_temp_L0,core_avg_temp_L1,mem_avg_temp_L0,mem_avg_temp_L1,total_area,avg_power,avg_cores_power,avg_routers_power,avg_power_per_router,layer_area,area_per_core,simulation_time
2,2,2,8,4,8,xyz,thermal,random,0.01,64.6079,63.569075,26.169900000000002,26.043774999999997,25.989975,25.887125,25.66845,25.597350000000002,1.90044e+07 (um^2),1.15652e-08 (J/cycle),9.7779e-09 (J/cycle),1.78732e-09 (J/cycle),2.23415e-10 (J/cycle),9.50219e+06 (um^2),4.69523e+06 (um^2)	Percent (per tile)   ,13
3,3,2,8,4,8,xyz,thermal,random,0.01,69.57983333333333,68.52566666666667,26.233600000000003,26.103244444444442,25.983333333333334,25.882022222222222,25.666811111111112,25.595933333333335,4.27599e+07 (um^2),2.6283e-08 (J/cycle),2.20097e-08 (J/cycle),4.27332e-09 (J/cycle),2.37407e-10 (J/cycle),2.13799e+07 (um^2),4.69523e+06 (um^2)	Percent (per tile)   ,13
4,4,2,8,4,8,xyz,thermal,random,0.01,76.140775,75.07003125,26.328343750000002,26.1872625,26.010250000000003,25.901531249999998,25.687181250000002,25.61218125,7.60175e+07 (um^2),4.71551e-08 (J/cycle),3.91455e-08 (J/cycle),8.00964e-09 (J/cycle),2.50301e-10 (J/cycle),3.80088e+07 (um^2),4.69523e+06 (um^2)	Percent (per tile)   ,18
5,5,2,8,4,8,xyz,thermal,random,0.01,84.354092,83.265744,26.263311999999996,26.137076,25.916752000000002,25.826548,25.62118,25.558351999999996,1.18777e+08 (um^2),7.42825e-08 (J/cycle),6.1142e-08 (J/cycle),1.31404e-08 (J/cycle),2.62809e-10 (J/cycle),5.93887e+07 (um^2),4.69523e+06 (um^2)	Percent (per tile)   ,26
6,6,2,8,4,8,xyz,thermal,random,0.01,94.42529166666665,93.31249444444444,26.493374999999997,26.330361111111113,26.033113888888888,25.920380555555553,25.707069444444443,25.62831388888889,1.71039e+08 (um^2),1.08002e-07 (J/cycle),8.81149e-08 (J/cycle),1.98874e-08 (J/cycle),2.76214e-10 (J/cycle),8.55197e+07 (um^2),4.69523e+06 (um^2)	Percent (per tile)   ,33
7,7,2,8,4,8,xyz,thermal,random,0.01,106.05783673469388,104.9285918367347,26.486583673469383,26.32506530612245,25.993697959183674,25.888893877551023,25.681377551020407,25.607481632653066,2.32804e+08 (um^2),1.48174e-07 (J/cycle),1.19914e-07 (J/cycle),2.82603e-08 (J/cycle),2.8837e-10 (J/cycle),1.16402e+08 (um^2),4.69523e+06 (um^2)	Percent (per tile)   ,47
8,8,2,8,4,8,xyz,thermal,random,0.01,119.735640625,118.574578125,26.7657765625,26.5609984375,26.118042187500002,25.98873125,25.772578125000003,25.681134375,3.0407e+08 (um^2),1.95066e-07 (J/cycle),1.56556e-07 (J/cycle),3.85101e-08 (J/cycle),3.00861e-10 (J/cycle),1.52035e+08 (um^2),4.69523e+06 (um^2)	Percent (per tile)   ,78
9,9,2,8,4,8,xyz,thermal,random,0.01,134.9421851851852,133.7722962962963,26.879441975308644,26.656990123456787,26.168328395061728,26.03060864197531,25.812083950617286,25.713234567901235,3.84839e+08 (um^2),2.49033e-07 (J/cycle),1.98224e-07 (J/cycle),5.0809e-08 (J/cycle),3.13636e-10 (J/cycle),1.92419e+08 (um^2),4.69523e+06 (um^2)	Percent (per tile)   ,158
10,10,2,8,4,8,xyz,thermal,random,0.01,nan,nan,27.078308000000003,26.819774000000002,26.243329999999997,26.090729,25.871467999999997,25.760329000000002,4.75109e+08 (um^2),3.09859e-07 (J/cycle),2.44675e-07 (J/cycle),6.51845e-08 (J/cycle),3.25922e-10 (J/cycle),2.37555e+08 (um^2),4.69523e+06 (um^2)	Percent (per tile)   ,231
11,11,2,8,4,8,xyz,thermal,random,0.01,nan,nan,27.19785950413223,26.92410247933885,26.27767355371901,26.116809917355376,25.899594214876036,25.78255950413223,5.74882e+08 (um^2),3.78025e-07 (J/cycle),2.96099e-07 (J/cycle),8.19263e-08 (J/cycle),3.38538e-10 (J/cycle),2.87441e+08 (um^2),4.69523e+06 (um^2)	Percent (per tile)   ,318
12,12,2,8,4,8,xyz,thermal,random,0.01,nan,nan,27.2708875,26.98579236111111,26.2774625,26.116793055555554,25.898139583333332,25.78140416666667,6.84158e+08 (um^2),4.53285e-07 (J/cycle),3.52313e-07 (J/cycle),1.00972e-07 (J/cycle),3.50597e-10 (J/cycle),3.42079e+08 (um^2),4.69523e+06 (um^2)	Percent (per tile)   ,443
13,13,2,8,4,8,xyz,thermal,random,0.01,nan,nan,27.330174556213017,27.03782899408284,26.276469230769234,26.116483431952663,25.898246745562133,25.78160591715976,8.02935e+08 (um^2),5.36002e-07 (J/cycle),4.1337e-07 (J/cycle),1.22631e-07 (J/cycle),3.62814e-10 (J/cycle),4.01467e+08 (um^2),4.69523e+06 (um^2)	Percent (per tile)   ,539
14,14,2,8,4,8,xyz,thermal,random,0.01,nan,nan,27.34231581632653,27.046948469387754,26.27268112244898,26.11236836734694,25.899648979591838,25.782592346938777,9.31215e+08 (um^2),6.26817e-07 (J/cycle),4.79572e-07 (J/cycle),1.47245e-07 (J/cycle),3.75624e-10 (J/cycle),4.65607e+08 (um^2),4.69523e+06 (um^2)	Percent (per tile)   ,673
15,15,2,8,4,8,xyz,thermal,random,0.01,nan,nan,27.36193333333333,27.067478666666663,26.26785377777778,26.108840444444446,25.903008888888888,25.785592888888882,1.069e+09 (um^2),7.25659e-07 (J/cycle),5.50735e-07 (J/cycle),1.74924e-07 (J/cycle),3.8872e-10 (J/cycle),5.34498e+08 (um^2),4.69523e+06 (um^2)	Percent (per tile)   ,833
16,16,2,8,4,8,xyz,thermal,random,0.01,nan,nan,27.190530468749998,26.911058984375,26.258691015624997,26.100565234375,25.896651562499997,25.78021875,1.21628e+09 (um^2),8.31404e-07 (J/cycle),6.26343e-07 (J/cycle),2.0506e-07 (J/cycle),4.00509e-10 (J/cycle),6.0814e+08 (um^2),4.69523e+06 (um^2)	Percent (per tile)   ,992
