algorithm,target,MSE,MAE,R²,Best MSE Model,Best MAE Model,Best R² Model
KNN,area_per_core,0,0,1,KNN,KNN,KNN
Linear Regression,area_per_core,0,0,1,KNN,KNN,KNN
Decision Tree,area_per_core,0,0,1,KNN,KNN,KNN
AdaBoost,area_per_core,0,0,1,KNN,KNN,KNN
Random Forest,area_per_core,0,0,1,KNN,KNN,KNN
SVR,area_per_core,0,0,1,KNN,KNN,KNN
AdaBoost with DecisionTree,area_per_core,0,0,1,KNN,KNN,KNN
SVR,avg_cores_power,0.002657188,0.042897164,0.9973595,Random Forest,AdaBoost with DecisionTree,Random Forest
KNN,avg_cores_power,0.00615838,0.061366009,0.993880296,Random Forest,AdaBoost with DecisionTree,Random Forest
Random Forest,avg_cores_power,0.00036823,0.007599281,0.999634083,Random Forest,AdaBoost with DecisionTree,Random Forest
Linear Regression,avg_cores_power,0.115867654,0.255052957,0.884860039,Random Forest,AdaBoost with DecisionTree,Random Forest
AdaBoost with DecisionTree,avg_cores_power,0.000449563,0.006266263,0.99955326,Random Forest,AdaBoost with DecisionTree,Random Forest
AdaBoost,avg_cores_power,0.069499013,0.226387408,0.930937467,Random Forest,AdaBoost with DecisionTree,Random Forest
Decision Tree,avg_cores_power,0.000717735,0.008137818,0.999286773,Random Forest,AdaBoost with DecisionTree,Random Forest
SVR,avg_power,0.002913208,0.042701294,0.997084454,Random Forest,AdaBoost with DecisionTree,Random Forest
Decision Tree,avg_power,0.001177405,0.010814876,0.99882165,Random Forest,AdaBoost with DecisionTree,Random Forest
Random Forest,avg_power,0.000703041,0.010103002,0.999296395,Random Forest,AdaBoost with DecisionTree,Random Forest
AdaBoost,avg_power,0.107243824,0.285371938,0.892670114,Random Forest,AdaBoost with DecisionTree,Random Forest
AdaBoost with DecisionTree,avg_power,0.000735485,0.008564943,0.999263924,Random Forest,AdaBoost with DecisionTree,Random Forest
KNN,avg_power,0.00664982,0.061119561,0.993344844,Random Forest,AdaBoost with DecisionTree,Random Forest
Linear Regression,avg_power,0.135451351,0.265138148,0.86443995,Random Forest,AdaBoost with DecisionTree,Random Forest
Random Forest,avg_power_per_router,0.007935753,0.037082583,0.991887254,AdaBoost with DecisionTree,AdaBoost with DecisionTree,AdaBoost with DecisionTree
KNN,avg_power_per_router,0.008018847,0.036800445,0.991802307,AdaBoost with DecisionTree,AdaBoost with DecisionTree,AdaBoost with DecisionTree
AdaBoost with DecisionTree,avg_power_per_router,0.004022752,0.020415238,0.995887527,AdaBoost with DecisionTree,AdaBoost with DecisionTree,AdaBoost with DecisionTree
SVR,avg_power_per_router,0.014256708,0.079638515,0.98542532,AdaBoost with DecisionTree,AdaBoost with DecisionTree,AdaBoost with DecisionTree
